episode,source_id,delivered,hops,total_reward,epsilon
177,35,True,5,1.106081,0.041387
178,43,True,6,1.124780,0.041180
179,34,True,7,1.104114,0.040974
180,36,True,1,1.028687,0.040769
181,16,True,3,1.071668,0.040565
182,35,True,5,1.106081,0.040362
183,31,True,4,1.069905,0.040161
184,48,True,3,1.109004,0.039960
185,36,True,1,1.028687,0.039760
186,25,True,3,1.084093,0.039561
187,30,True,6,1.070211,0.039363
188,17,True,2,1.070467,0.039167
189,22,True,5,1.131678,0.038971
190,11,True,2,1.020729,0.038776
191,34,True,9,0.919687,0.038582
192,1,False,6,-1.094594,0.038389
193,34,True,6,1.059866,0.038197
194,45,True,5,1.153215,0.038006
195,45,True,5,1.153215,0.037816
196,18,True,8,0.910614,0.037627
197,37,True,6,1.080396,0.037439
198,15,True,3,1.053862,0.037252
199,2,True,5,1.073814,0.037066
200,16,True,3,1.071668,0.036880
201,48,True,3,1.109004,0.036696
202,24,True,6,1.032766,0.036512
203,25,True,3,1.081555,0.036330
204,37,True,6,1.080396,0.036148
205,24,True,6,1.032766,0.035967
206,22,True,5,1.131678,0.035788
207,19,True,7,1.107314,0.035609
208,47,True,4,1.126014,0.035431
209,44,True,4,1.095060,0.035253
210,38,True,4,1.105579,0.035077
211,43,True,6,1.124780,0.034902
212,17,True,2,1.070467,0.034727
213,30,True,6,1.070211,0.034554
214,30,True,14,0.836055,0.034381
215,29,True,6,1.015731,0.034209
216,43,True,6,1.124780,0.034038
217,44,True,4,1.095060,0.033868
218,39,True,4,1.100679,0.033698
219,19,True,7,1.107314,0.033530
220,32,True,2,1.055840,0.033362
221,19,True,5,0.992220,0.033195
222,50,True,4,1.127226,0.033029
223,7,True,4,0.998982,0.032864
224,29,True,6,1.079719,0.032700
225,4,True,5,1.178257,0.032536
226,9,True,3,1.123711,0.032374
227,45,True,5,1.153215,0.032212
228,29,True,6,1.079719,0.032051
229,47,True,4,1.126014,0.031891
230,18,True,5,1.050794,0.031731
231,2,True,5,1.073814,0.031572
232,11,True,2,1.020729,0.031415
233,17,True,2,1.070467,0.031258
234,47,True,4,1.126014,0.031101
235,9,True,5,1.111766,0.030946
236,6,True,4,1.096971,0.030791
237,42,True,3,1.046514,0.030637
238,29,True,6,1.079719,0.030484
239,23,True,3,1.084862,0.030331
240,16,True,3,1.071668,0.030180
241,14,True,2,1.067718,0.030029
242,42,True,3,1.046514,0.029879
243,34,True,6,1.059866,0.029729
244,1,True,4,1.096368,0.029581
245,6,True,4,1.096971,0.029433
246,35,True,5,1.106081,0.029286
247,30,True,6,1.070211,0.029139
248,11,True,2,1.020729,0.028994
249,50,True,4,1.127226,0.028849
250,32,True,2,1.055840,0.028704
251,24,True,6,1.032766,0.028561
252,12,True,3,1.071419,0.028418
253,27,True,6,1.150846,0.028276
254,30,True,5,1.039613,0.028135
255,30,True,8,0.868373,0.027994
256,48,True,3,1.109004,0.027854
257,10,True,3,1.063850,0.027715
258,45,True,5,1.153215,0.027576
259,28,True,4,1.113333,0.027438
260,21,True,4,1.117678,0.027301
261,29,True,6,1.079719,0.027164
262,46,True,6,1.225643,0.027029
263,2,True,5,1.073814,0.026893
264,50,True,4,1.127226,0.026759
265,5,True,4,1.063165,0.026625
266,8,True,5,1.029549,0.026492
267,23,True,3,1.084862,0.026360
268,40,True,5,1.128935,0.026228
269,13,True,5,1.100894,0.026097
270,25,True,3,1.084093,0.025966
271,4,True,5,1.178257,0.025836
272,49,True,4,1.098777,0.025707
273,48,True,3,1.109004,0.025579
274,37,True,11,1.046333,0.025451
275,50,True,4,1.127226,0.025324
276,20,True,1,1.045076,0.025197
277,47,True,4,1.126014,0.025071
278,25,True,3,1.084093,0.024946
279,50,True,4,1.127226,0.024821
280,32,True,2,1.055840,0.024697
281,11,True,2,1.020729,0.024573
282,29,True,6,1.079719,0.024450
283,32,True,2,1.055840,0.024328
284,31,True,4,1.069905,0.024206
285,17,True,2,1.070467,0.024085
286,11,True,2,1.020729,0.023965
287,46,True,6,1.225643,0.023845
288,16,True,3,1.071668,0.023726
289,1,True,4,1.096368,0.023607
290,6,True,4,1.096971,0.023489
291,12,True,3,1.071419,0.023372
292,30,True,6,1.070211,0.023255
293,36,True,1,1.028687,0.023139
294,34,True,6,1.059866,0.023023
295,12,True,3,1.071419,0.022908
296,6,True,4,1.096971,0.022793
297,6,True,4,1.096971,0.022679
298,8,True,5,1.029549,0.022566
299,25,True,3,1.084093,0.022453
300,3,True,5,1.154076,0.022341
301,20,True,1,1.045076,0.022229
302,45,True,5,1.153215,0.022118
303,13,True,5,1.100894,0.022007
304,12,True,3,1.071419,0.021897
305,24,True,6,1.032766,0.021788
306,38,True,4,1.105579,0.021679
307,4,True,5,1.178257,0.021571
308,31,True,4,1.069905,0.021463
309,28,True,4,1.113333,0.021355
310,33,True,4,1.092254,0.021249
311,18,True,5,1.050794,0.021142
312,47,True,4,1.126014,0.021037
313,38,True,4,1.105579,0.020932
314,33,True,4,1.092254,0.020827
315,47,True,4,1.126014,0.020723
316,27,True,6,1.150846,0.020619
317,34,True,6,1.059866,0.020516
318,22,True,10,0.806042,0.020413
319,35,True,10,0.935304,0.020311
320,30,True,8,1.069699,0.020210
321,38,True,4,1.105579,0.020109
322,39,True,4,1.100679,0.020008
323,8,True,5,1.029549,0.019908
324,40,True,5,1.128935,0.019809
325,50,True,4,1.127226,0.019710
326,45,True,5,1.153215,0.019611
327,50,True,4,1.127226,0.019513
328,7,True,4,0.998982,0.019415
329,7,True,5,1.002672,0.019318
330,47,True,4,1.126014,0.019222
331,45,True,5,1.153215,0.019126
332,37,True,6,1.080396,0.019030
333,17,True,2,1.070467,0.018935
334,43,True,9,1.029788,0.018840
335,18,True,5,1.050794,0.018746
336,6,True,4,1.096971,0.018652
337,3,True,5,1.154076,0.018559
338,4,True,5,1.178257,0.018466
339,1,True,4,1.096368,0.018374
340,9,True,3,1.123711,0.018282
341,14,True,2,1.067718,0.018191
342,49,True,4,1.098777,0.018100
343,34,True,6,1.059866,0.018009
344,33,True,4,1.092254,0.017919
345,9,True,3,1.123711,0.017830
346,13,True,5,1.100894,0.017740
347,36,True,1,1.028687,0.017652
348,44,True,4,1.095060,0.017563
349,4,True,5,1.178257,0.017476
350,14,True,2,1.067718,0.017388
351,7,True,4,0.998982,0.017301
352,25,True,6,0.943913,0.017215
353,50,True,4,1.127226,0.017129
354,48,True,3,1.109004,0.017043
355,11,True,19,0.404762,0.016958
356,25,True,3,1.084093,0.016873
357,32,True,2,1.055840,0.016789
358,7,True,4,0.998982,0.016705
359,7,True,4,0.998982,0.016621
360,3,True,5,1.154076,0.016538
361,28,True,4,1.113333,0.016455
362,45,True,5,1.153215,0.016373
363,25,True,3,1.084093,0.016291
364,35,True,5,1.106081,0.016210
365,37,True,6,1.080396,0.016129
366,43,True,6,1.124780,0.016048
367,22,True,5,1.131678,0.015968
368,45,True,5,1.153215,0.015888
369,18,True,5,1.050794,0.015809
370,12,True,3,1.071419,0.015730
371,17,True,2,1.070467,0.015651
372,33,True,4,1.092254,0.015573
373,42,True,3,1.046514,0.015495
374,26,True,3,1.073613,0.015417
375,29,True,6,1.079719,0.015340
376,43,True,6,1.124780,0.015264
377,38,True,4,1.105579,0.015187
378,15,True,3,1.053862,0.015111
379,39,True,7,0.943910,0.015036
380,31,True,4,1.069905,0.014961
381,9,True,3,1.123711,0.014886
382,4,True,5,1.178257,0.014811
383,29,True,6,1.079719,0.014737
384,30,True,6,1.070211,0.014664
385,35,True,5,1.106081,0.014590
386,3,True,5,1.154076,0.014517
387,31,True,4,1.069905,0.014445
388,37,True,6,1.080396,0.014372
389,37,True,6,1.080396,0.014301
390,37,True,6,1.080396,0.014229
391,11,True,2,1.020729,0.014158
392,31,True,4,1.069905,0.014087
393,26,True,3,1.073613,0.014017
394,41,True,6,1.147114,0.013947
395,18,True,5,1.050794,0.013877
396,47,True,4,1.126014,0.013808
397,37,True,7,0.991969,0.013739
398,37,True,6,1.080396,0.013670
399,21,True,4,1.117678,0.013601
400,26,True,3,1.073613,0.013533
401,14,True,2,1.067718,0.013466
402,32,True,2,1.055840,0.013398
403,14,True,2,1.067718,0.013331
404,10,True,3,1.063850,0.013265
405,31,True,4,1.069905,0.013199
406,4,True,5,1.178257,0.013133
407,45,True,5,1.153215,0.013067
408,12,True,3,1.071419,0.013002
409,28,True,4,1.113333,0.012937
410,7,True,4,0.998982,0.012872
411,12,True,3,1.071419,0.012807
412,17,True,2,1.070467,0.012743
413,4,True,5,1.178257,0.012680
414,23,True,3,1.084862,0.012616
415,50,True,4,1.127226,0.012553
416,40,True,5,1.128935,0.012490
417,15,True,3,1.053862,0.012428
418,50,True,4,1.127226,0.012366
419,47,True,4,1.126014,0.012304
420,31,True,4,1.069905,0.012243
421,20,True,1,1.045076,0.012181
422,29,True,6,1.079719,0.012120
423,36,True,1,1.028687,0.012060
424,38,True,4,1.105579,0.012000
425,29,True,6,1.079719,0.011940
426,49,True,4,1.098777,0.011880
427,27,True,6,1.150846,0.011820
428,19,True,7,1.107314,0.011761
429,10,True,3,1.063850,0.011702
430,46,True,6,1.225643,0.011644
431,45,True,5,1.153215,0.011586
432,25,True,3,1.084093,0.011528
433,16,True,3,1.071668,0.011470
434,31,True,4,1.069905,0.011413
435,17,True,2,1.070467,0.011356
436,43,True,6,1.124780,0.011299
437,38,True,4,1.105579,0.011243
438,6,True,4,1.096971,0.011186
439,9,True,3,1.123711,0.011130
440,47,True,4,1.126014,0.011075
441,36,True,1,1.028687,0.011019
442,13,True,5,1.100894,0.010964
443,35,True,5,1.106081,0.010909
444,21,True,4,1.117678,0.010855
445,27,True,6,1.150846,0.010801
446,37,True,6,1.080396,0.010747
447,30,True,6,1.070211,0.010693
448,14,True,2,1.067718,0.010639
449,35,True,5,1.106081,0.010586
450,44,True,4,1.095060,0.010533
451,35,True,5,1.106081,0.010481
452,47,True,4,1.126014,0.010428
453,29,True,7,0.987109,0.010376
454,36,True,1,1.028687,0.010324
455,7,True,4,0.998982,0.010273
456,6,True,4,1.096971,0.010221
457,39,True,4,1.100679,0.010170
458,23,True,3,1.084862,0.010119
459,48,True,3,1.109004,0.010069
460,21,True,4,1.117678,0.010018
461,15,True,3,1.053862,0.010000
462,36,True,1,1.028687,0.010000
463,26,True,3,1.073613,0.010000
464,26,True,3,1.073613,0.010000
465,50,True,4,1.127226,0.010000
466,39,True,4,1.100679,0.010000
467,3,True,5,1.154076,0.010000
468,19,True,7,1.107314,0.010000
469,25,True,3,1.084093,0.010000
470,4,True,5,1.178257,0.010000
471,15,True,3,1.053862,0.010000
472,12,True,3,1.071419,0.010000
473,22,True,5,1.131678,0.010000
474,25,True,3,1.084093,0.010000
475,26,True,3,1.073613,0.010000
476,28,True,4,1.113333,0.010000
477,9,True,3,1.123711,0.010000
478,21,True,4,1.117678,0.010000
479,27,True,6,1.150846,0.010000
480,44,True,4,1.095060,0.010000
481,12,True,3,1.071419,0.010000
482,27,True,6,1.150846,0.010000
483,45,True,5,1.153215,0.010000
484,40,True,5,1.128935,0.010000
485,48,True,3,1.109004,0.010000
486,26,True,3,1.073613,0.010000
487,45,True,5,1.153215,0.010000
488,29,True,6,1.079719,0.010000
489,41,True,6,1.147114,0.010000
490,12,True,3,1.071419,0.010000
491,19,True,8,1.110023,0.010000
492,6,True,4,1.096971,0.010000
493,4,True,5,1.178257,0.010000
494,12,True,3,1.071419,0.010000
495,3,True,5,1.154076,0.010000
496,8,True,5,1.029549,0.010000
497,31,True,4,1.069905,0.010000
498,34,True,5,1.015588,0.010000
499,30,True,6,1.070211,0.010000
500,45,True,5,1.153215,0.010000
501,12,True,3,1.071419,0.010000
502,42,True,3,1.046514,0.010000
503,48,True,3,1.109004,0.010000
504,14,True,2,1.067718,0.010000
505,5,True,4,1.094506,0.010000
506,12,True,3,1.071419,0.010000
507,27,True,6,1.150846,0.010000
508,33,True,4,1.092254,0.010000
509,50,True,4,1.127226,0.010000
510,1,True,4,1.096368,0.010000
511,2,True,5,1.073814,0.010000
512,18,True,5,1.050794,0.010000
513,37,True,6,1.080396,0.010000
514,6,True,4,1.096971,0.010000
515,46,True,6,1.225643,0.010000
516,31,True,4,1.069905,0.010000
517,21,True,4,1.117678,0.010000
518,50,True,4,1.127226,0.010000
519,20,True,1,1.045076,0.010000
520,38,True,4,1.105579,0.010000
521,28,True,4,1.113333,0.010000
522,8,True,5,1.029549,0.010000
523,44,True,4,1.095060,0.010000
524,49,True,4,1.098777,0.010000
525,20,True,1,1.045076,0.010000
526,28,True,4,1.113333,0.010000
527,4,True,6,1.017642,0.010000
528,26,True,3,1.073613,0.010000
529,24,True,6,1.032766,0.010000
530,6,True,4,1.096971,0.010000
531,25,True,3,1.084093,0.010000
532,46,True,6,1.225643,0.010000
533,10,True,3,1.063850,0.010000
534,16,True,3,1.071668,0.010000
535,35,True,5,1.106081,0.010000
536,45,True,5,1.153215,0.010000
537,48,True,3,1.109004,0.010000
538,17,True,2,1.070467,0.010000
539,1,True,4,1.096368,0.010000
540,45,True,5,1.153215,0.010000
541,50,True,4,1.127226,0.010000
542,49,True,4,1.098777,0.010000
543,25,True,3,1.084093,0.010000
544,1,True,4,1.096368,0.010000
545,28,True,4,1.113333,0.010000
546,30,True,6,1.070211,0.010000
547,34,True,6,1.059866,0.010000
548,46,True,6,1.225643,0.010000
549,41,True,6,1.147114,0.010000
550,17,True,2,1.070467,0.010000
551,40,True,5,1.128935,0.010000
552,5,True,4,1.094506,0.010000
553,3,True,5,1.154076,0.010000
554,47,True,4,1.126014,0.010000
555,22,True,5,1.131678,0.010000
556,42,True,3,1.046514,0.010000
557,7,True,4,0.998982,0.010000
558,47,True,4,1.126014,0.010000
559,2,True,5,1.073814,0.010000
560,48,True,3,1.109004,0.010000
561,31,True,4,1.069905,0.010000
562,30,True,6,1.070211,0.010000
563,21,True,4,1.117678,0.010000
564,11,True,2,1.020729,0.010000
565,9,True,3,1.123711,0.010000
566,1,True,4,1.037725,0.010000
567,10,True,3,1.063850,0.010000
568,39,True,4,1.100679,0.010000
569,36,True,1,1.028687,0.010000
570,34,True,6,1.059866,0.010000
571,32,True,2,1.055840,0.010000
572,19,True,7,1.107314,0.010000
573,47,True,4,1.126014,0.010000
574,16,True,3,1.071668,0.010000
575,4,True,5,1.178257,0.010000
576,13,True,5,1.100894,0.010000
577,15,True,3,1.053862,0.010000
578,6,True,4,1.096971,0.010000
