current_node_id,candidate_node_id,link_distance_m,residual_energy,link_quality,trust_value,normalized_distance_to_sink,energy_bin,link_quality_bin,trust_bin,distance_bin,state_tuple,distance_progress,estimated_energy_cost,estimated_delay,estimated_packet_loss_rate,preview_reward
6,16,236.559076,1.000000,0.211470,0.500000,0.563463,4,1,2,2,"(4, 1, 2, 2)",-0.039375,0.810890,0.848950,0.788530,-0.060788
6,23,111.082123,1.000000,0.629726,0.500000,0.591018,4,3,2,2,"(4, 3, 2, 2)",-0.066930,0.568551,0.550196,0.370274,0.012109
6,28,168.294043,1.000000,0.439020,0.500000,0.710484,4,2,2,3,"(4, 2, 2, 3)",-0.186396,0.657349,0.686414,0.560980,-0.057483
6,36,277.228911,1.000000,0.075904,0.500000,0.285113,4,0,2,1,"(4, 0, 2, 1)",0.238975,0.926977,0.945783,0.924096,-0.009222
6,45,290.255445,1.000000,0.032482,0.500000,0.726269,4,0,2,3,"(4, 0, 2, 3)",-0.202181,0.968046,0.976799,0.967518,-0.152381
6,50,268.079925,1.000000,0.106400,0.500000,0.727898,4,0,2,3,"(4, 0, 2, 3)",-0.203810,0.899260,0.924000,0.893600,-0.134632
7,6,298.976070,1.000000,0.003413,0.500000,0.524088,4,0,2,2,"(4, 0, 2, 2)",-0.000322,0.996593,0.997562,0.996587,-0.099220
7,8,217.549058,1.000000,0.274836,0.500000,0.529009,4,1,2,2,"(4, 1, 2, 2)",-0.005244,0.762931,0.803688,0.725164,-0.036566
7,16,251.999469,1.000000,0.160002,0.500000,0.563463,4,0,2,2,"(4, 0, 2, 2)",-0.039697,0.852799,0.885713,0.839998,-0.072686
7,19,256.480960,1.000000,0.145063,0.500000,0.715479,4,0,2,3,"(4, 0, 2, 3)",-0.191713,0.865458,0.896383,0.854937,-0.121790
7,29,181.308948,1.000000,0.395637,0.500000,0.646976,4,1,2,3,"(4, 1, 2, 3)",-0.123210,0.682627,0.717402,0.604363,-0.046968
8,2,299.573566,1.000000,0.001421,0.500000,0.577266,4,0,2,2,"(4, 0, 2, 2)",-0.048257,0.998580,0.998985,0.998579,-0.114112
8,7,217.549058,1.000000,0.274836,0.500000,0.523766,4,1,2,2,"(4, 1, 2, 2)",0.005244,0.762931,0.803688,0.725164,-0.033420
8,19,246.855986,1.000000,0.177147,0.500000,0.715479,4,0,2,3,"(4, 0, 2, 3)",-0.186470,0.838544,0.873467,0.822853,-0.112742
8,29,141.740702,1.000000,0.527531,0.500000,0.646976,4,2,2,3,"(4, 2, 2, 3)",-0.117967,0.611613,0.623192,0.472469,-0.020611
8,30,180.966946,1.000000,0.396777,0.500000,0.697145,4,1,2,3,"(4, 1, 2, 3)",-0.168135,0.681939,0.716588,0.603223,-0.060220
8,33,280.811017,1.000000,0.063963,0.500000,0.680485,4,0,2,3,"(4, 0, 2, 3)",-0.151475,0.938082,0.954312,0.936037,-0.129302
8,39,259.021260,1.000000,0.136596,0.500000,0.545192,4,0,2,2,"(4, 0, 2, 2)",-0.016182,0.872733,0.902432,0.863404,-0.071129
8,42,259.324212,1.000000,0.135586,0.500000,0.549904,4,0,2,2,"(4, 0, 2, 2)",-0.020894,0.873606,0.903153,0.864414,-0.072782
9,1,299.190221,1.000000,0.002699,0.500000,0.605385,4,0,2,3,"(4, 0, 2, 3)",-0.044401,0.997304,0.998072,0.997301,-0.112627
9,5,211.870492,1.000000,0.293765,0.500000,0.596443,4,1,2,2,"(4, 1, 2, 2)",-0.035459,0.749384,0.790168,0.706235,-0.041570
9,14,253.828704,1.000000,0.153904,0.500000,0.356241,4,0,2,1,"(4, 0, 2, 1)",0.204743,0.857939,0.890068,0.846096,-0.000778
9,16,236.719882,1.000000,0.210934,0.500000,0.563463,4,1,2,2,"(4, 1, 2, 2)",-0.002479,0.811313,0.849333,0.789066,-0.049841
9,17,99.524922,1.000000,0.668250,0.500000,0.511315,4,3,2,2,"(4, 3, 2, 2)",0.049668,0.555029,0.522678,0.331750,0.053244
9,20,285.163673,1.000000,0.049454,0.500000,0.236208,4,0,2,1,"(4, 0, 2, 1)",0.324776,0.951768,0.964675,0.950546,0.009966
9,25,221.565849,1.000000,0.261447,0.500000,0.572415,4,1,2,2,"(4, 1, 2, 2)",-0.011432,0.772730,0.813252,0.738553,-0.041327
9,26,134.939218,1.000000,0.550203,0.500000,0.425370,4,2,2,2,"(4, 2, 2, 2)",0.135613,0.601159,0.606998,0.449797,0.059460
9,38,278.172773,1.000000,0.072757,0.500000,0.789237,4,0,2,3,"(4, 0, 2, 3)",-0.228254,0.929889,0.948030,0.927243,-0.150164
9,47,248.565825,1.000000,0.171447,0.500000,0.669276,4,0,2,3,"(4, 0, 2, 3)",-0.108292,0.843250,0.877538,0.828553,-0.090606
10,5,151.661128,1.000000,0.494463,0.500000,0.596443,4,2,2,2,"(4, 2, 2, 2)",0.031654,0.627784,0.646812,0.505537,0.018307
10,17,234.384214,1.000000,0.218719,0.500000,0.511315,4,1,2,2,"(4, 1, 2, 2)",0.116781,0.805200,0.843772,0.781281,-0.012311
10,25,203.398409,1.000000,0.322005,0.500000,0.572415,4,1,2,2,"(4, 1, 2, 2)",0.055681,0.729838,0.769996,0.677995,-0.008271
10,26,279.313356,1.000000,0.068955,0.500000,0.425370,4,0,2,2,"(4, 0, 2, 2)",0.202726,0.933422,0.950746,0.931045,-0.021807
10,30,284.388653,1.000000,0.052038,0.500000,0.697145,4,0,2,3,"(4, 0, 2, 3)",-0.069048,0.949316,0.962830,0.947962,-0.107536
10,32,278.321744,1.000000,0.072261,0.500000,0.328696,4,0,2,1,"(4, 0, 2, 1)",0.299401,0.930350,0.948385,0.927739,0.008010
10,33,145.249768,1.000000,0.515834,0.500000,0.680485,4,2,2,3,"(4, 2, 2, 3)",-0.052388,0.617208,0.631547,0.484166,-0.003030
10,39,181.700814,1.000000,0.394331,0.500000,0.545192,4,1,2,2,"(4, 1, 2, 2)",0.082905,0.683418,0.718335,0.605669,0.014608
10,42,244.686223,1.000000,0.184379,0.500000,0.549904,4,0,2,2,"(4, 0, 2, 2)",0.078193,0.832619,0.868301,0.815621,-0.031680
10,48,280.920261,1.000000,0.063599,0.500000,0.367542,4,0,2,1,"(4, 0, 2, 1)",0.260554,0.938423,0.954572,0.936401,-0.005783
11,0,254.506515,1.000000,0.151645,0.500000,0.000000,4,0,2,0,"(4, 0, 2, 0)",0.293879,0.859853,0.891682,0.848355,0.025433
11,1,299.843058,1.000000,0.000523,0.500000,0.605385,4,0,2,3,"(4, 0, 2, 3)",-0.311506,0.999477,0.999626,0.999477,-0.193317
11,12,179.572471,1.000000,0.401425,0.500000,0.492386,4,2,2,2,"(4, 2, 2, 2)",-0.198507,0.679146,0.713268,0.598575,-0.068414
11,14,216.169353,1.000000,0.279435,0.500000,0.356241,4,1,2,1,"(4, 1, 2, 1)",-0.062362,0.759607,0.800403,0.720565,-0.052710
11,15,182.545411,1.000000,0.391515,0.500000,0.458238,4,1,2,2,"(4, 1, 2, 2)",-0.164359,0.685127,0.720346,0.608485,-0.060129
11,20,226.698648,1.000000,0.244338,0.500000,0.236208,4,1,2,1,"(4, 1, 2, 1)",0.057671,0.785513,0.825473,0.755662,-0.024347
11,21,287.970414,1.000000,0.040099,0.500000,0.586068,4,0,2,2,"(4, 0, 2, 2)",-0.292189,0.960705,0.971358,0.959901,-0.177466
11,36,155.359400,1.000000,0.482135,0.500000,0.285113,4,2,2,1,"(4, 2, 2, 1)",0.008766,0.634092,0.655618,0.517865,0.009173
12,1,179.707499,1.000000,0.400975,0.500000,0.605385,4,2,2,3,"(4, 2, 2, 3)",-0.112999,0.679415,0.713589,0.599025,-0.042850
12,3,276.611461,1.000000,0.077962,0.500000,0.744226,4,0,2,3,"(4, 0, 2, 3)",-0.251840,0.925077,0.944313,0.922038,-0.155960
12,4,256.530919,1.000000,0.144897,0.500000,0.740018,4,0,2,3,"(4, 0, 2, 3)",-0.247632,0.865601,0.896502,0.855103,-0.138605
12,11,179.572471,1.000000,0.401425,0.500000,0.293879,4,2,2,1,"(4, 2, 2, 1)",0.198507,0.679146,0.713268,0.598575,0.050690
12,15,210.775736,1.000000,0.297414,0.500000,0.458238,4,1,2,2,"(4, 1, 2, 2)",0.034148,0.746813,0.787561,0.702586,-0.019912
12,21,136.007173,1.000000,0.546643,0.500000,0.586068,4,2,2,2,"(4, 2, 2, 2)",-0.093682,0.602766,0.609541,0.453357,-0.009951
12,41,293.448716,1.000000,0.021838,0.500000,0.695896,4,0,2,3,"(4, 0, 2, 3)",-0.203510,0.978401,0.984402,0.978162,-0.155473
12,44,217.579200,1.000000,0.274736,0.500000,0.687903,4,1,2,3,"(4, 1, 2, 3)",-0.195517,0.763004,0.803760,0.725264,-0.093670
12,46,265.838751,1.000000,0.113871,0.500000,0.756445,4,0,2,3,"(4, 0, 2, 3)",-0.264059,0.892612,0.918664,0.886129,-0.150909
13,24,287.854826,1.000000,0.040484,0.500000,0.586061,4,0,2,2,"(4, 0, 2, 2)",-0.057290,0.960336,0.971083,0.959516,-0.106900
13,27,172.804687,1.000000,0.423984,0.500000,0.710137,4,2,2,3,"(4, 2, 2, 3)",-0.181366,0.665897,0.697154,0.576016,-0.058868
13,34,256.224918,1.000000,0.145917,0.500000,0.605599,4,0,2,3,"(4, 0, 2, 3)",-0.076828,0.864729,0.895774,0.854083,-0.087124
13,43,178.011437,1.000000,0.406629,0.500000,0.634522,4,2,2,3,"(4, 2, 2, 3)",-0.105751,0.676045,0.709551,0.593371,-0.039565
13,49,179.892826,1.000000,0.400357,0.500000,0.491475,4,2,2,2,"(4, 2, 2, 2)",0.037296,0.679786,0.714031,0.599643,0.002116
14,6,243.934558,1.000000,0.186885,0.500000,0.524088,4,0,2,2,"(4, 0, 2, 2)",-0.167847,0.830578,0.866511,0.813115,-0.104918
14,9,253.828704,1.000000,0.153904,0.500000,0.560984,4,0,2,2,"(4, 0, 2, 2)",-0.204743,0.857939,0.890068,0.846096,-0.123624
14,11,216.169353,1.000000,0.279435,0.500000,0.293879,4,1,2,1,"(4, 1, 2, 1)",0.062362,0.759607,0.800403,0.720565,-0.015293
14,15,230.502294,1.000000,0.231659,0.500000,0.458238,4,1,2,2,"(4, 1, 2, 2)",-0.101997,0.795174,0.834529,0.768341,-0.075055
14,16,248.693945,1.000000,0.171020,0.500000,0.563463,4,0,2,2,"(4, 0, 2, 2)",-0.207222,0.843604,0.877843,0.828980,-0.120384
14,17,263.306545,1.000000,0.122312,0.500000,0.511315,4,0,2,2,"(4, 0, 2, 2)",-0.155075,0.885169,0.912635,0.877688,-0.116193
14,20,144.967473,1.000000,0.516775,0.500000,0.236208,4,2,2,1,"(4, 2, 2, 1)",0.120033,0.616753,0.630875,0.483225,0.048866
14,23,242.263208,1.000000,0.192456,0.500000,0.591018,4,0,2,2,"(4, 0, 2, 2)",-0.234777,0.826064,0.862531,0.807544,-0.123722
14,26,217.357294,1.000000,0.275476,0.500000,0.425370,4,1,2,2,"(4, 1, 2, 2)",-0.069130,0.762468,0.803232,0.724524,-0.055594
14,36,136.795593,1.000000,0.544015,0.500000,0.285113,4,2,2,1,"(4, 2, 2, 1)",0.071127,0.603961,0.611418,0.455985,0.039031
15,1,273.677742,1.000000,0.087741,0.500000,0.605385,4,0,2,3,"(4, 0, 2, 3)",-0.147147,0.916108,0.937328,0.912259,-0.122160
